,Unnamed: 0,2017_mean,2017_std,2018_mean,2018_predicted_mean,2018_predicted_std,2018_std,2019_predicted_mean,2019_predicted_std,2020_predicted_mean,2020_predicted_std,2021_predicted_mean,2021_predicted_std,2022_predicted_mean,2022_predicted_std,2023_predicted_mean,2023_predicted_std,5_yr_num_diff,5_yr_pct_diff,Sat_mean,Sat_std,Sun/Hol_mean,Sun/Hol_std,Weekday_mean,Weekday_std,daily_mean,daily_std,latitude,longitude,num_na,num_yrs_from_past_5,station,weekday-sat,weekday-sun
94,94,1559.3260273972605,275.1248677685636,1468.220994475138,1518.1486790833108,257.37936985041927,259.0274026711481,1418.5348141806674,249.11099834789096,1336.4099443007774,248.67712868292176,1254.876931016758,248.7819715109852,1171.9836718805996,249.99755777538925,1070.9742945124642,244.68000384433049,-37.719178082191775,-0.021871761985802096,1181.3146314631465,260.4548884464262,933.3533464566929,257.94450495040655,1571.6051511758121,305.98412344372264,1414.6039123630676,383.9631287288221,0.0,0.0,0,5,Pulaski-Forest Park,390.2905197126656,638.2518047191193
95,95,8204.898630136986,3553.528081724979,7642.607734806628,7543.625019726509,3502.205854382797,3238.384630876233,7297.305245324441,3363.713796074448,6825.9267765237755,3357.8164320083783,6353.76735706949,3362.972508646092,5871.139932796789,3382.9324652655528,5629.67995836674,3260.4777676059953,-172.32671232876734,-0.018834727887029445,4637.107810781078,1676.940371745659,3270.569881889764,1944.973115175896,11034.135274356104,1996.1952298498388,8889.740845070422,3820.036581655184,41.878183,-87.629296,0,5,Jackson/State,6397.027463575026,7763.56539246634
96,96,4231.005479452055,1429.6266591615024,3841.3646408839777,4155.051409399166,1043.490911445687,1234.314163893144,3929.057479387142,984.5672512539747,3758.928521310106,985.6221291756616,3596.96081924842,983.4047684575199,3427.179533955012,988.8330894067668,3193.233606003465,943.8497484598236,468.97226538540184,0.2137471130375429,3393.396685082873,1889.355751445442,2587.9930693069314,1586.3988018543018,4377.853993250844,1640.7783736755914,3953.5311320754718,1804.1305424731922,0.0,0.0,90,5,Sox-35th-Dan Ryan,984.457308167971,1789.8609239439124
97,97,2292.4712328767127,686.899713852,2345.4088397790056,2352.422755962627,495.96653684021965,691.0626750232666,2333.980672596866,487.3500687657306,2328.346567074771,486.6694142161483,2323.3282849706075,487.26991957071937,2315.3341177622683,490.2389949719227,2296.2698809259737,487.1657278441874,40.242465753424646,0.01958586365217324,1040.09900990099,464.92397309552683,763.5501968503937,400.4609849079665,1951.7796192609185,623.2930254680192,1633.1632237871675,754.2436012601519,0.0,0.0,0,5,Grand/Milwaukee,911.6806093599284,1188.2294224105249
98,98,483.61369863013687,111.63515599303942,451.8066298342541,466.4154585665637,141.69585956105215,118.62513861469944,417.64232874505433,137.74843364060817,379.8573493522045,137.51008122713534,342.34320616047717,137.59601164202988,304.0667548605048,138.28429054093962,254.7242639587094,135.435255034552,-72.3376712328767,-0.10645965150541314,421.012101210121,97.79036097292216,305.06003937007875,77.82471992957427,651.5343784994402,114.33831670079941,563.6528951486697,174.30345340184815,41.78013,-87.615546,0,5,King Drive,230.52227728931922,346.47433912936145
99,99,10493.77808219178,3569.460775535952,10508.541436464091,9806.939156505408,3207.863310766191,3164.2060887187154,9811.531260457612,2850.597491964923,9410.980830016348,2846.737737516063,9017.273375428344,2849.8007426197905,8612.649963483178,2862.653219142358,8615.83441401376,2427.738794121129,-331.4335616438357,-0.02885357156050025,7938.625962596258,2069.98998508593,5639.638779527559,1808.081373346468,11795.118253079507,2600.9119115908898,10267.807042253522,3415.141617076321,41.925051,-87.652866,0,5,Fullerton,3856.4922904832483,6155.479473551948
100,100,1739.3561643835615,429.4550332056747,1725.651933701657,1783.3585780319145,370.05069866999685,421.9337169629004,1706.3515293876105,358.2342213962899,1680.9532656647991,357.6818380477414,1655.82828987337,358.1114570414918,1628.8392462694985,359.3934149101284,1549.5059375544379,343.9966819252768,-36.10479452054796,-0.019544493602836832,1254.3542354235424,378.7126610841148,879.242125984252,295.412661923348,1804.0875699888013,554.7817765705047,1578.8370892018781,614.4634055741423,0.0,0.0,0,5,Kedzie-Brown,549.7333345652589,924.8454440045493
101,101,3161.043835616438,1084.653524082197,2942.033149171271,3101.594516629114,1038.3724598408169,1039.5986560022543,2964.308964082866,982.4046126600124,2870.571575023508,981.2321421447908,2778.478159188206,983.0735854125708,2682.767541712682,989.413240300073,2543.59218038342,941.313291309709,-72.20547945205487,-0.021591461976634942,1765.4026402640266,1114.564293602895,1230.1023622047244,898.2047400392061,3501.994176931691,999.7454124681116,2893.730672926448,1372.1829637498558,0.0,0.0,0,5,Library,1736.5915366676645,2271.891814726967
102,102,1097.5945205479452,247.28939307203842,1026.3370165745855,1056.3308027441838,246.9761659635444,241.08977629354573,990.5518345283313,241.63574113811728,932.466565206916,241.2135507534372,874.8330047848002,241.3835073841224,815.6480288938268,242.6203329216572,749.2436009237831,240.3994378502836,-20.122602739726005,-0.016438099591201127,664.8580858085809,399.85529416265103,492.27066929133866,314.43601331417364,1092.4817469204927,258.12159409712626,936.2181533646324,379.29586587905146,0.0,0.0,0,5,Cicero-Cermak,427.6236611119118,600.211077629154
103,103,5127.071232876712,1691.5589387495745,5114.977900552486,4953.0436027804435,1362.2604927087298,1699.2921400649973,4807.732843458745,1330.5074486890385,4627.883216512727,1328.3890032099318,4449.892101363444,1329.7154174132056,4264.38266083892,1337.9257543541914,4118.817775439879,1318.7389020003545,-28.62534246575343,-0.004433547104569946,2794.104510451045,840.6647615239855,1990.491141732284,696.4932980346388,5290.797088465844,994.2506699769368,4410.8902973395925,1647.0564922799977,0.0,0.0,0,5,Division/Milwaukee,2496.6925780147994,3300.3059467335606
104,104,2912.413698630137,957.1648504362939,2773.4088397790056,3034.826844827678,853.3393745925943,943.3201228340497,3106.311749429113,839.9659252432017,3222.9840254632263,839.0842095402028,3340.162769887262,840.4894417642378,3453.006502522808,845.1845210822438,3523.1414147277965,838.1434388372355,12.741095890410975,0.008225260959528552,1549.3344334433443,282.86901035263304,1030.3179133858266,295.15088287025355,3113.193952967525,384.4192945270111,2559.555399061033,927.2326852713844,0.0,0.0,0,5,Kedzie-Midway,1563.8595195241808,2082.8760395816985
105,105,8984.572602739727,3447.65171447208,8473.6408839779,8917.258329413009,2632.9797078461033,3292.6352597353607,8694.53874783404,2590.290120137538,8527.054647650944,2586.3936209438793,8361.092684879444,2589.577569916789,8181.164005438148,2603.880168479633,7956.176249695876,2588.874473054663,159.432191780822,0.01993150849651221,4113.778877887788,1417.5269634968454,2689.5551181102364,1279.9475623931794,9062.31287793953,2029.7354686166254,7345.107981220657,3227.602759275777,41.8807,-87.6277,0,5,Monroe/State,4948.534000051742,6372.757759829294
